Date,Close,return,log_return,return_lag_1,Close_lag_1,return_lag_3,Close_lag_3,rolling_mean_2,rolling_std_2,rolling_mean_3,rolling_std_3,sma_3,ema_3,sma_10,ema_10,volume_change,volume_rolling_mean_10,day_of_week,week_of_year,month,is_month_end
2025-01-16,227.23228454589844,-0.040400196921681064,-0.04123895322887482,0.01948486578348478,236.79901123046875,-0.010398017677105166,233.3446502685547,-0.010877043722695018,0.04293822420318407,-0.008847924041616566,0.030564645080580783,232.0869903564453,231.35576340556145,237.70293426513672,236.12733110096656,0.8015439847358907,48188330.0,3,3,1,0
2025-01-17,228.94451904296875,0.007535172655998457,0.007506925054144697,-0.04123895322887482,227.23228454589844,-0.0047896846794596645,232.22967529296875,-0.016866014087365058,0.03446854108881716,-0.004749054130415113,0.03216368010956961,230.99193827311197,230.1501412242651,236.32217712402343,234.82136527223966,-0.045580281803980216,49463090.0,4,3,1,0
2025-01-21,221.6375732421875,-0.031915792661583064,-0.032436204436978575,0.007506925054144697,228.94451904296875,0.01948486578348478,236.79901123046875,-0.012464639691416937,0.028244057724985637,-0.02205607753723623,0.02597788363660143,225.93812561035156,225.8938572332263,234.25950317382814,232.42431217586653,0.43192924922943043,55245720.0,1,4,1,0
2025-01-22,222.82223510742188,0.005345040770410758,0.00533080673845155,-0.032436204436978575,221.6375732421875,-0.04123895322887482,227.23228454589844,-0.013552698849263512,0.026705309707294764,-0.006532824214794108,0.022459356690080572,224.46810913085938,224.3580461703241,232.15203552246095,230.67847998160386,-0.3461176868861553,57153810.0,2,4,1,0
2025-01-23,222.6529998779297,-0.0007595078175686165,-0.0007597963897555634,0.00533080673845155,222.82223510742188,0.007506925054144697,228.94451904296875,0.0022855051743479937,0.004306706773471242,-0.009288398029427528,0.020276576824686844,222.37093607584634,223.5055230241269,230.30538635253907,229.2193017809358,-0.06068785915339214,59091690.0,3,4,1,0
2025-01-24,221.77694702148438,-0.003934610613490985,-0.003942371558049726,-0.0007597963897555634,222.6529998779297,-0.032436204436978575,221.6375732421875,-0.0023510839739026446,0.0022504204831367077,0.00020954626354875486,0.004711971754405153,222.41739400227866,222.64123502280563,228.32235260009764,227.86614637012644,-0.09192194545345878,60798590.0,4,4,1,0
2025-01-27,228.82508850097656,0.031780316097549166,0.03128577240041234,-0.003942371558049726,221.77694702148438,0.00533080673845155,222.82223510742188,0.013671700421181307,0.024910059481644427,0.008861201484202351,0.0194853337604866,224.41834513346353,225.7331617618911,227.62649841308593,228.04049948482646,0.7343152113700893,64113840.0,0,5,1,0
2025-01-28,237.187255859375,0.03654392712433174,0.035892032241055534,0.03128577240041234,228.82508850097656,-0.0007597963897555634,222.6529998779297,0.033588902320733936,0.0032571175692260603,0.021078477694472717,0.02179074529285243,229.26309712727866,231.46020881063305,228.01075897216796,229.7035460983807,-0.2019303545940795,66721530.0,1,5,1,0
2025-01-29,238.28231811523438,0.004616868018021192,0.004606242973274919,0.035892032241055534,237.187255859375,-0.003942371558049726,221.77694702148438,0.020249137607165228,0.022122393746020985,0.023928015871580933,0.01689090253302544,234.76488749186197,234.8712634629337,228.61602325439452,231.26332282871772,-0.39918713576972453,67326610.0,2,5,1,0
2025-01-30,236.52027893066406,-0.007394754249948954,-0.007422230984761187,0.004606242973274919,238.28231811523438,0.03128577240041234,228.82508850097656,-0.001407994005743134,0.008505415503053127,0.011025348076523089,0.02235922700908385,237.32995096842447,235.6957711967989,228.58815002441406,232.21913302907157,0.22363315386458726,68909240.0,3,5,1,0
